reaction,FC,p,q,enrichment,changed
12PPDRte,-121.11337345475226,6.607762098084648e-199,9.286475208269607e-199,-1,1
1a_24_25VITD2Hm,-1.0,0.0,0.0,-1,1
24_25VITD2Hm,-1.0,0.0,0.0,-1,1
25HVITD2tin_m,-1.0,0.0,0.0,-1,1
2H3MVc,1.0,0.0,0.0,1,1
2H3MVte,1.0,0.0,0.0,1,1
2MCITt,426.40483342512397,0.0,0.0,1,1
2MOPtm,-1.0,0.0,0.0,-1,1
2OBUTt,388.6063307858964,0.0,0.0,1,1
2OXOADPTm,60.825783121850364,0.0,0.0,1,1
2OXOADPt,-248.63344567689006,0.0,0.0,-1,1
34DHPHELAT1tc,180.75883710823027,0.0,0.0,1,1
3AIB_Dtm,1.0,0.0,0.0,1,1
3ANTHRNtr,-59.829861449144275,0.0,0.0,-1,1
3H3MGLTc,137.66650061650327,1.1210689561133033e-93,1.4051628914691596e-93,1,1
3H3MGLTte,137.66650061649875,1.1210689561133033e-93,1.4051628914691596e-93,1,1
3HAO,40.16757684693508,1.918531618192692e-247,2.7902598629608547e-247,1,1
3HLYTCL,428.0824107390507,0.0,0.0,1,1
3HPPt,1.0,0.0,0.0,1,1
3HPPtm,-1.0,0.0,0.0,-1,1
3HPVSCOAhc,37.21568833446088,2.6860351639888324e-12,2.8420704017309223e-12,1,1
3HPVSCOAitm,-37.21568833446088,2.6860351639888324e-12,2.8420704017309223e-12,-1,1
3HPVSTETCOAhcm,37.21568833446083,2.6860351639888324e-12,2.8420704017309223e-12,1,1
3HPVSTETCOAitm,37.21568833446089,2.6860351639888324e-12,2.8420704017309223e-12,1,1
3HPVSTEThc,37.2156883344609,2.6860351639888324e-12,2.8420704017309223e-12,1,1
3HPVSTETtev,37.21568833445994,2.6860351639888324e-12,2.8420704017309223e-12,1,1
3HPVStep,-37.215688334461085,2.6860351639888324e-12,2.8420704017309223e-12,-1,1
3MOPt2im,-1.0,0.0,0.0,-1,1
3PGtr,-851.5662145655804,0.0,0.0,-1,1
4AABUTNt,-80.9777378666703,0.0,0.0,-1,1
4HGLSDm,-1.0,0.0,0.0,-1,1
4OHBUTm,-1.0,0.0,0.0,-1,1
4OHBUTtce,-1.0,0.0,0.0,-1,1
4OHBUTtmc,-1.0,0.0,0.0,-1,1
56DURAtd,-276.947099243602,0.0,0.0,-1,1
5ADTSTSTERONEGLCte,12.627164486521814,0.0,0.0,1,1
5ADTSTSTERONEGLCtr,-12.62716448652182,0.0,0.0,-1,1
5ADTSTSTERONEte,12.627164486520751,0.0,0.0,1,1
5ADTSTSTERONEtr,-12.627164486528574,0.0,0.0,-1,1
5AOPt,1.0,0.0,0.0,1,1
5AOPtm,-1.0,0.0,0.0,-1,1
5EIPENCm,13.923671911911748,1.8582877929472538e-74,2.251726760725421e-74,1,1
5EIPENCte,13.92367191191174,1.8582877929472538e-74,2.251726760725421e-74,1,1
5EIPENCtm,13.923671911911777,1.8582877929472538e-74,2.251726760725421e-74,1,1
5HOXINDACTOX,0.0,1.0,1.0,0,0
5MTHFt2_1,1.0,0.0,0.0,1,1
7DHCHSTEROLtd,1.0,0.0,0.0,1,1
7THFtm,23.2165183184997,9.005752037838126e-104,1.1456874127959256e-103,1,1
A4GALTg,12.344852880476646,0.0,0.0,1,1
A4GNT2g,12.19617161280419,0.0,0.0,1,1
AASAD3,-1.0,0.0,0.0,-1,1
AATA,100.04441261627896,0.0,0.0,1,1
ACACT1r,331.55834235221806,0.0,0.0,1,1
ACACT1x,137.19307585871903,0.0,0.0,1,1
ACACT4m,-99.99048564527487,7.244723226071667e-282,1.081055904020447e-281,-1,1
ACACT5m,-23.793969987864774,3.0414095020255734e-46,3.498764314360246e-46,-1,1
ACALDt,117.78118437058384,1.1968461534608873e-29,1.3327326162992414e-29,1,1
ACALDtm,1.0,0.0,0.0,1,1
ACCOAC,167.29193392075265,0.0,0.0,1,1
ACETONEt2,140.56394699795058,0.0,0.0,1,1
ACGALtlg,-7.743179919553428,0.0,0.0,-1,1
ACGALtly,54.408816053157516,0.0,0.0,1,1
ACGALtr,62.60421151497324,0.0,0.0,1,1
ACGAM2E,288.84131181216947,0.0,0.0,1,1
ACGAMK,130.67648532739202,0.0,0.0,1,1
ACGAMPM,80.31421721264962,0.0,0.0,1,1
ACGAMtly,87.73466563389474,0.0,0.0,1,1
ACGBGBSIDEtg,-7.74317991955651,0.0,0.0,-1,1
ACGBGBSIDEtl,7.743179919556454,0.0,0.0,1,1
ACGLUtd,-1.0,0.0,0.0,-1,1
ACGLUtm,1.0,0.0,0.0,1,1
ACGSm,-1.0,0.0,0.0,-1,1
ACILEm,-1.0,0.0,0.0,-1,1
ACILEte,-1.0,0.0,0.0,-1,1
ACILEtm,-1.0,0.0,0.0,-1,1
ACLYSHYc,1.0,8.696354510115212e-262,1.2810098588391792e-261,1,1
ACLYSt,-1.0,0.0,0.0,-1,1
ACLYStm,-1.0,0.0,0.0,-1,1
ACN13ACNGALGBSIDEte,2.562108270823937,0.0,0.0,1,1
ACN13ACNGALGBSIDEtg,-2.5621082708239618,0.0,0.0,-1,1
ACNAMt2,43.498763328332295,0.0,0.0,1,1
ACNAMtr,278.9852691010075,0.0,0.0,1,1
ACNMCT,119.96387929868054,0.0,0.0,1,1
ACNML,-307.1541012243521,0.0,0.0,-1,1
ACOADH100_m,26.032471132993283,0.0,0.0,1,1
ACOADH120_m,23.622507107784333,7.8580359170637845e-25,8.575460023614544e-25,1,1
ACOADH160_m,9.055478848899465,7.171434429983675e-159,9.843565799529027e-159,1,1
ACOAR2m,-1.0,0.0,0.0,-1,1
ACOAR4m,39.884653109049516,4.146142039578868e-54,4.86472187159177e-54,1,1
ACOAR5m,23.62250710778413,7.8580359170637845e-25,8.575460023614544e-25,1,1
ACOAR7m,35.11710440629273,0.0,0.0,1,1
ACONTm,1.0,1.837273440992013e-114,2.37417936209272e-114,1,1
ACRNtm,-277.48519163757624,5.568767486084818e-92,6.972352089778863e-92,-1,1
ACRNtr,-4.892839802891393,5.526786377018912e-81,6.761180562504479e-81,-1,1
ACTLMO,257.7559472569407,0.0,0.0,1,1
ACTNMO,140.56394699795095,0.0,0.0,1,1
ACt2m,-724.2718995233082,3.1011084728698247e-52,3.6072194349904954e-52,-1,1
ACt2r,-523.0810517143467,0.0,0.0,-1,1
ACtg,-4.696032282127175,0.0,0.0,-1,1
ADK1,-415.20845256674687,0.0,0.0,-1,1
ADK3,29.894791424528226,2.039482665828e-311,3.0997435219045e-311,1,1
ADNK1m,42.19146228163486,0.0,0.0,1,1
ADNt,-43.08535031924505,2.348793247271724e-268,3.4754871066980056e-268,-1,1
ADNt2,-252.56258553901006,1.1875381285669299e-189,1.6638583669481709e-189,-1,1
ADPMAN,8.285040199466662,0.0,0.0,1,1
ADPOHc,124.21519521387899,0.0,0.0,1,1
ADPOHt,124.21519521387943,0.0,0.0,1,1
ADPRDP,16.711183822467728,0.0,0.0,1,1
ADRNCOAtx,17.521020386294097,0.0,0.0,1,1
ADRNCPT1,5.584928055609042,0.0028179208242694134,0.002894864947044899,1,1
ADRNCPT2,5.584928055608887,0.0028179208242694134,0.002894864947044899,1,1
ADRNCRNt,242.86724739791933,0.0,0.0,1,1
ADRNt,35.48197865769565,1.9730820464735348e-36,2.236159652670006e-36,1,1
ADSK,37.35891278722851,0.0,0.0,1,1
AG13T16g,1.3705646829458054,0.0,0.0,1,1
AG13T17g,1.3705646829458078,0.0,0.0,1,1
AG13T18g,1.3705646829458078,0.0,0.0,1,1
AG13T1g,1.4917792462202475,0.0,0.0,1,1
AG13T2g,1.491779246220252,0.0,0.0,1,1
AG13T3g,1.4917792462202424,0.0,0.0,1,1
AGDC,50.36226811474204,0.0,0.0,1,1
AGMTm,-1.0,0.0,0.0,-1,1
AGPAT1_1,-1.0,0.0,0.0,-1,1
AHANDROSTANGLCte,25.146109778728857,0.0,0.0,1,1
AHANDROSTANGLCtr,-25.14610977872884,0.0,0.0,-1,1
AHCYSte,-369.97049632348654,0.0,0.0,-1,1
AICART,1.0,1.5141792219224034e-177,2.0997228485268376e-177,1,1
AICARte,1.0,1.5141792219224034e-177,2.0997228485268376e-177,1,1
AK2LGCHOLABCt,14.308216971227639,0.0,0.0,1,1
AK2LGCHOLt,14.30821697122764,0.0,0.0,1,1
AKGDm,-1.0,0.0,0.0,-1,1
AKR1C41,217.81608491631712,0.0,0.0,1,1
AKR1C42,667.7013687892472,0.0,0.0,1,1
ALAALACNc,-1.0,0.0,0.0,-1,1
ALAARGGLYr,1.0,0.0,0.0,1,1
ALAARGGLYt,1.0,0.0,0.0,1,1
ALAPAT4te,-183.63924348133352,0.0,0.0,-1,1
ALAR,-1.0,0.0,0.0,-1,1
ALATA_L,-268.78113527538136,0.0,0.0,-1,1
ALCD1,-71.4736520959726,3.827420009052391e-167,5.26298916763046e-167,-1,1
ALCD19y,-249.64174014172093,0.0,0.0,-1,1
ALCD21_D,287.88856540274895,7.408208478975014e-151,1.0096103598128063e-150,1,1
ALCD22_D,472.17352986816456,0.0,0.0,1,1
ALCD22_L,64.58918204539893,2.762261538882274e-61,3.277864649294116e-61,1,1
ALDD20x,60.8111447829206,0.0,0.0,1,1
ALDD20xm,-1.0,0.0,0.0,-1,1
ALDD2x,41.52900050297568,0.0,0.0,1,1
ALDD2xm,-1.0,0.0,0.0,-1,1
ALDD2y,76.6636839220182,0.0,0.0,1,1
ALLTNti,605.7628342507913,0.0,0.0,1,1
ALR,93.11604489963247,6.092949945604465e-14,6.473759317204744e-14,1,1
ALR2,484.2031214100113,5.969109643048212e-169,8.227691670147534e-169,1,1
ALR3,366.9439955485249,2.545028969775287e-103,3.2287680959835735e-103,1,1
AM6SAD,36.11868739977268,0.0,0.0,1,1
AMCOXO,36.11868739977275,0.0,0.0,1,1
AMETt,-370.09060589722526,0.0,0.0,-1,1
AMETt2m,119.1821678349467,0.0,0.0,1,1
AMPDA,723.9526141467187,0.0,0.0,1,1
AMPTASECG,-1.0,0.0,0.0,-1,1
AMPTASECGe,-1.0,0.0,0.0,-1,1
AMY1e,165.59889404365828,4.6891451899304544e-65,5.616695308397908e-65,1,1
AMY2e,121.1042581532657,4.183999797831446e-66,5.019487473091045e-66,1,1
ANDRSTRNGLCte,13.75506061535141,0.0,0.0,1,1
ANDRSTRNGLCtr,-13.755060615351445,0.0,0.0,-1,1
ANDRSTRNte,13.755060615350397,0.0,0.0,1,1
ANDRSTRNtr,-13.755060615362618,0.0,0.0,-1,1
APRTO2,80.97773786667275,0.0,0.0,1,1
ARACHCPT1,102.57626446974061,7.844864182954565e-155,1.0716644821357576e-154,1,1
ARACHCPT2,102.57626446973829,7.844864182954565e-155,1.0716644821357576e-154,1,1
ARACHCRNt,280.34317809686473,1.0010596819739184e-239,1.4494838928265885e-239,1,1
ARACHDt2,12.092532499237105,0.0,0.0,1,1
ARACHt,125.02324529716637,3.306287771791326e-110,4.2438089688261144e-110,1,1
ARGALAALAr,1.0,0.0,0.0,1,1
ARGALAALAt,-1.0,0.0,0.0,-1,1
ARGDCm,-1.0,0.0,0.0,-1,1
ARGGLUGLUr,-1.0,0.0,0.0,-1,1
ARGGLUGLUt,-1.0,0.0,0.0,-1,1
ARGGLYGLYr,-1.0,0.0,0.0,-1,1
ARGGLYGLYt,1.0,0.0,0.0,1,1
ARGNm,-1.0,0.0,0.0,-1,1
ARGSERSERr,1.0,1.4056512099561888e-199,1.982771682144716e-199,1,1
ARGSERSERt,1.0,1.4056512099561888e-199,1.982771682144716e-199,1,1
ARGSS,-1.0,0.0,0.0,-1,1
ARGSUCte,-1.0,0.0,0.0,-1,1
ARGtm,457.8028546374626,0.0,0.0,1,1
ARTFR208,585.6825693371736,6.283426277106529e-233,9.03537801125281e-233,1,1
ASPCT,12.250997113413423,0.0,0.0,1,1
ASPNATm,-1.0,0.0,0.0,-1,1
ASPTAm,1.0,0.0,0.0,1,1
ATP1ter,123.30481432079266,0.0,0.0,1,1
ATP2ter,86.93756178641584,1.2967034492352598e-148,1.7609079384585333e-148,1,1
ATPS4mi,922.1706996300486,1.4773569429441138e-42,1.6918833253776154e-42,1,1
ATPasel_1,95.47784555344735,0.0,0.0,1,1
B3GALT3g,10.30528819037745,0.0,0.0,1,1
B3GALT41g,2.2914138998269444,0.0,0.0,1,1
B3GALT43g,3.454813681627297,0.0,0.0,1,1
B3GALT5g,2.562108270823887,0.0,0.0,1,1
B3GNT31g,2.0395646900991116,0.0,0.0,1,1
B3GNT32g,2.0395646900991116,0.0,0.0,1,1
B3GNT33g,2.0395646900988478,0.0,0.0,1,1
B3GNT36g,7.743179919553428,0.0,0.0,1,1
BALABETAtc2,-276.9470992436043,0.0,0.0,-1,1
BAMPPALDOX,40.40631074987438,0.0,0.0,1,1
BETALDHx,-1.0,0.0,0.0,-1,1
BETALDHxm,-1.0,0.0,0.0,-1,1
BETBGTtc,-1.0,0.0,0.0,-1,1
BGAL2l,54.40881605315753,0.0,0.0,1,1
BHMT,-1.0,0.0,0.0,-1,1
BILDGLCURt,308.5523967520111,0.0,0.0,1,1
BILDGLCURte,9.98311454840864,0.0,0.0,1,1
BILDGLCURtr,-31.42456385210577,0.0,0.0,-1,1
BILGLCURte,48.165257850928874,0.0,0.0,1,1
BILGLCURtr,40.49516649814673,0.0,0.0,1,1
BIOMASS_maintenance,3.813509156081138,2.2025638207223236e-116,2.8510343872294035e-116,1,1
BIOMASS_maintenance_noTrTr,4.109763772142556,2.3619474016900614e-188,3.307302798583704e-188,1,1
BPNT,37.35891278722888,0.0,0.0,1,1
BUTSMCT1,-1.0,0.0,0.0,-1,1
C02712tm,-484.13296279951953,1.5193815153747912e-52,1.7718397244843222e-52,-1,1
C04483t2,663.7051529028573,0.0,0.0,1,1
C04717td,-45.189064440281754,2.038066062230256e-35,2.298457794996775e-35,-1,1
C04805td,-18.237942789431766,0.0,0.0,-1,1
C05953tm,120.72237685061442,0.0,0.0,1,1
C05957t,-18.78382756084874,0.0,0.0,-1,1
C100CPT1,-1.0,0.0,0.0,-1,1
C10164te,-36.118687399774934,0.0,0.0,-1,1
C101CPT1,0.0,1.0,1.0,0,0
C102CPT1,0.0,1.0,1.0,0,0
C10CRNe,-1.0,0.0,0.0,-1,1
C10DCc,0.0,1.0,1.0,0,0
C10OHc,0.0,1.0,1.0,0,0
C120CPT1,0.0,1.0,1.0,0,0
C121CPT1,0.0,1.0,1.0,0,0
C12OHc,0.0,1.0,1.0,0,0
C141CPT1,0.0,1.0,1.0,0,0
C141OHc,0.0,1.0,1.0,0,0
C142CPT1,0.0,1.0,1.0,0,0
C142OHc,0.0,1.0,1.0,0,0
C14OHc,0.0,1.0,1.0,0,0
C160CPT1,1.0,3.476699126770538e-269,5.147757739315087e-269,1,1
C160CPT2,1.0,0.0,0.0,1,1
C161CPT1,-306.98385312559867,0.0,0.0,-1,1
C161CPT12,0.0,1.0,1.0,0,0
C161CPT2,-98.97485666767562,0.0,0.0,-1,1
C161CRN2t,1.0,1.4009782290842566e-250,2.045321269560031e-250,1,1
C161OHc,0.0,1.0,1.0,0,0
C162OHc,0.0,1.0,1.0,0,0
C16DCc,0.0,1.0,1.0,0,0
C16OHc,0.0,1.0,1.0,0,0
C180CPT1,-1.0,0.0,0.0,-1,1
C180CPT2,-4.7450040096417805,3.5808201117274716e-149,4.865590382720276e-149,-1,1
C180CRNt,162.02669967032145,2.6573756410355674e-90,3.3144984218351235e-90,1,1
C181CPT1,1.0,0.0,0.0,1,1
C181CRNt,12.571554198797106,1.5702401851850447e-15,1.669926424930342e-15,1,1
C181OHc,0.0,1.0,1.0,0,0
C182OHc,0.0,1.0,1.0,0,0
C18OHc,-1.0,0.0,0.0,-1,1
C204CPT1,0.0,1.0,1.0,0,0
C226COAtx,-23.986292563542694,0.0,0.0,-1,1
C226CPT1,13.923671911911933,1.8582877929472538e-74,2.251726760725421e-74,1,1
C226CPT2,13.923671911906945,1.8582877929472538e-74,2.251726760725421e-74,1,1
C226CRNt,14.14979256561728,3.4081594308883767e-100,4.302379479586812e-100,1,1
C30CPT1,-1.0,2.008330841445987e-179,2.795099624692868e-179,-1,1
C3DCe,-1.0,0.0,0.0,-1,1
C40CPT1,-1.0,0.0,0.0,-1,1
C4CRNe,-1.0,0.0,0.0,-1,1
C4OHc,0.0,1.0,1.0,0,0
C50CPT1,0.0,1.0,1.0,0,0
C51CPT1,0.0,1.0,1.0,0,0
C60CPT1,-1.0,0.0,0.0,-1,1
C6CRNe,-1.0,0.0,0.0,-1,1
C6DCc,0.0,1.0,1.0,0,0
C80CPT1,1.0,0.0,0.0,1,1
C81CPT1,0.0,1.0,1.0,0,0
C8CRNe,183.24039536206328,5.201117642547093e-205,7.368249993608382e-205,1,1
C8DCc,0.0,1.0,1.0,0,0
CA2t,-102.3450024796198,1.1405545071561369e-35,1.291990421482396e-35,-1,1
CAATPS_1,37.06202750361025,0.0,0.0,1,1
CAPROICc,-1.0,0.0,0.0,-1,1
CARN140t_m,-451.2029718482479,0.0,0.0,-1,1
CARN160t_m,1.0,0.0,0.0,1,1
CARN1619Zt_m,-98.9748566676846,0.0,0.0,-1,1
CARN180t_m,-165.89164039511436,4.808958234324042e-15,5.111884737273588e-15,-1,1
CARN1836Z9Z12Zt_m,309.80068821599633,0.0,0.0,1,1
CARNtr,461.48754697742856,0.0,0.0,1,1
CATm,567.2646602041309,0.0,0.0,1,1
CATp,159.13436263951496,1.854179377046452e-220,2.6562682086901423e-220,1,1
CATr,46.43740409833889,1.913210671452109e-237,2.7649990497371474e-237,1,1
CAt7r,-165.787355849581,5.368503601575849e-87,6.667053985723254e-87,-1,1
CBASPte,-12.250997113405951,0.0,0.0,-1,1
CBPS,12.250997113413455,0.0,0.0,1,1
CDIPTr,19.160265213056775,1.1090105986229903e-175,1.5360164899455417e-175,1,1
CDS,19.216510192827293,2.65915180710717e-176,3.685237558762654e-176,1,1
CDSm,-0.6561391616064597,1.269310553972161e-61,1.50779902762221e-61,0,0
CE1447te,60.160812582539506,0.0,0.0,1,1
CE2006te,45.189064440278024,2.038066062230256e-35,2.298457794996775e-35,1,1
CE2510ABCt,13.056926339104066,9.592471397687556e-168,1.3206191876240518e-167,1,1
CE2510t,26.149024386471677,0.0,0.0,1,1
CE2512te,-61.332897646804454,0.0,0.0,-1,1
CE4843HYDc,28.725135128631624,0.0,0.0,1,1
CE4843td,28.725135128631656,0.0,0.0,1,1
CE4877te,18.78382756086595,0.0,0.0,1,1
CE5025t,26.51841352709745,0.0,0.0,1,1
CE5026t,15.587767291493561,0.0,0.0,1,1
CE5629t,-111.46482951248483,0.0,0.0,-1,1
CE7085te,25.643684312798214,0.0,0.0,1,1
CE7090te,20.667604574216856,0.0,0.0,1,1
CE7096te,17.083723424371424,0.0,0.0,1,1
CERT2rt,54.85251472903549,0.0,0.0,1,1
CGLYt3_2,-1.0,0.0,0.0,-1,1
CHAT,-396.26763041580637,0.0,0.0,-1,1
CHLtm,-42.023764244208515,0.0,0.0,-1,1
CHOLD,-1.0,0.0,0.0,-1,1
CHOLD2m,-1.0,0.0,0.0,-1,1
CHOLESTTDe,-784.8307306823522,0.0,0.0,-1,1
CHOLPtr,262.4105956394369,0.0,0.0,1,1
CHOLtg,123.64692582494428,0.0,0.0,1,1
CHOLtr,507.62745123987264,0.0,0.0,1,1
CHSTEROLt,52.23186821252442,0.0,0.0,1,1
CHSTEROLtg,18.695215783994747,0.0,0.0,1,1
CHTNASE,110.59437716855628,0.0,0.0,1,1
CITRtm,366.4192810136542,1.6300754154993291e-28,1.8107565723963993e-28,1,1
CITt2r,1.0,2.4605561027288845e-244,3.574035604913158e-244,1,1
CITtbm,-1.0,0.0,0.0,-1,1
CLFORtex,-1.0,0.0,0.0,-1,1
CLFORtex2,-1.0,0.0,0.0,-1,1
CLPNDCPT1,8.660356265428286,0.005306868855560685,0.005444463130760738,1,1
CLPNDCPT2,8.660356265428284,0.005306868855560685,0.005444463130760738,1,1
CLPNDCRNt,8.330484135289264,1.5860009962863472e-134,2.1112948297431363e-134,1,1
CLPNDt,59.58964666768912,5.795101457747716e-58,6.809911851270358e-58,1,1
CLS_hs,-0.7646998563476529,0.0,0.0,0,0
CMPACNAtg,46.29049938240075,0.0,0.0,1,1
CO2t,-704.4731248198995,1.8083688851037378e-89,2.253098040886579e-89,-1,1
CO2ter,-51.58094282454797,0.0,0.0,-1,1
CO2tm,162.36478429114266,9.623755032161114e-258,1.4148954387450196e-257,1,1
CO2tp,-63.647644186115016,0.0,0.0,-1,1
COAtp,-174.00696355914297,1.469142113147104e-91,1.8384302888073084e-91,-1,1
COAtr,61.649179987349186,3.1733429211806902e-248,4.6210799518462466e-248,1,1
CORE2GTg,13.687950859024193,0.0,0.0,1,1
CORE3GTg,6.125831254616433,0.0,0.0,1,1
CORE4GTg,6.125831254616434,0.0,0.0,1,1
CORE4t,4.755266571670585,0.0,0.0,1,1
CORE5GTg,3.4313082802980706,0.0,0.0,1,1
CORE7GTg,4.461365137579243,0.0,0.0,1,1
CPS_m,219.00381092792253,7.39394789512448e-72,8.926412635092415e-72,1,1
CRMte,222.82528452740877,0.0,0.0,1,1
CRNATBtc,558.5617158833488,1.364821011392552e-283,2.0392345189751995e-283,1,1
CRNCAR3tp,200.83043673017872,0.0,0.0,1,1
CRNCARtm,-586.2459140865296,4.295221386124656e-50,4.988630101799639e-50,-1,1
CRNtHa,731.0699926059649,0.0,0.0,1,1
CSNAT2m,23.786909218190814,1.8455417415695558e-215,2.6291237100571887e-215,1,1
